_REC_TIME,gen_LATI,gen_LONG,Penggunaan,Pengenal,Status_T_1,Affilias_1,Potensi__1,HKM,Status_P_1,Posisi_B_1,KECAMATAN,DESA
05/19/2025 09:55:42.853 GMT+07:00,"-7,95546778291","111,90346326700",Masjid,sunan Kali jogo,SHM,BH NU,Daftar dari C Desa/Petok,HKM biaya,Belum,Desa,Kecamatan Mojo,Ngetrep
05/19/2025 10:00:25.248 GMT+07:00,"-7,95638685767","111,90734446000",Masjid,pendowo limo,SHM,BH NU,Daftar dari C Desa/Petok,HKM biaya,Sudah,BPN,Kecamatan Mojo,Ngetrep
05/19/2025 10:07:48.741 GMT+07:00,"-7,95216184899","111,90365944100",Musholla,al hidayah BASORI,C Desa/Petok,BH NU,Daftar dari C Desa/Petok,HKM biaya,Sudah,BPN,Kecamatan Mojo,Ngetrep
05/19/2025 10:12:34.699 GMT+07:00,"-7,94691672133","111,90048538100",Masjid,Al Huda YULI,SHM,BH NU,Wakaf Seluruhnya,HKM biaya,Sudah,BPN,Kecamatan Mojo,Ngetrep
05/19/2025 10:21:39.564 GMT+07:00,"-7,95537942092","111,91426791300",Masjid,Baitul mutaqin MAHSUN,C Desa/Petok,BH NU,Daftar dari C Desa/Petok,HKM biaya,Tidak ada,Tidak Ada,Kecamatan Mojo,Ngetrep
05/19/2025 10:24:53.511 GMT+07:00,"-7,95702738001","111,91670235200",Masjid,An Nishom SLAMET,SHM,BH NU,Perlu Konfirmasi,HKM biaya,Sudah,BPN,Kecamatan Mojo,Ngetrep
05/19/2025 10:29:14.735 GMT+07:00,"-7,95486076032","111,91394839400",Masjid,miftahul hidayah H.SLAMET,SHM,BH NU,Wakaf Sebagian,HKM biaya,Sudah,BPN,Kecamatan Mojo,Ngetrep
05/19/2025 10:32:39.257 GMT+07:00,"-7,95194734360","111,91046420500",Masjid,baitul maliq PRIYONO,C Desa/Petok,BH NU,Daftar dari C Desa/Petok,HKM biaya,Sudah,BPN,Kecamatan Mojo,Ngetrep
05/19/2025 10:34:32.363 GMT+07:00,"-7,95276536693","111,91208493300",Musholla,Rosaji MULYADI,SHM,BH NU,Daftar dari C Desa/Petok,HKM biaya,Sudah,BPN,Kecamatan Mojo,Ngetrep
05/19/2025 10:38:08.541 GMT+07:00,"-7,94802578776","111,90722812000",Masjid,al Huda KASIYANTO,SHM,BH NU,Daftar dari C Desa/Petok,HKM biaya,Sudah,BPN,Kecamatan Mojo,Ngetrep
05/19/2025 10:42:18.506 GMT+07:00,"-7,94308145185","111,90468169700",Masjid,an nur JUMALI,SHM,BH NU,Daftar dari C Desa/Petok,HKM biaya,Sudah,BPN,Kecamatan Mojo,Ngetrep
05/19/2025 10:53:37.413 GMT+07:00,"-7,94992248404","111,91119611300",Musholla,rosaji DARNO,SHM,BH NU,Daftar dari C Desa/Petok,HKM biaya,Sudah,BPN,Kecamatan Mojo,Ngetrep
05/19/2025 11:02:02.974 GMT+07:00,"-7,94739255712","111,90845489500",Musholla,baitul rohman MESMAN,SHM,BH NU,Daftar dari C Desa/Petok,HKM biaya,Sudah,BPN,Kecamatan Mojo,Ngetrep
05/19/2025 11:18:40.032 GMT+07:00,"-7,94063117879","111,90705511700",Musholla,PATKUROHMAN,Perlu Konfirmasi,BH NU,Perlu Konfirmasi,HKM biaya,Belum,Tidak Ada,Kecamatan Mojo,Ngetrep
05/19/2025 11:21:51.454 GMT+07:00,"-7,93799227832","111,90625045400",Masjid,SUBATUSOLIHAH,Perlu Konfirmasi,BH NU,Perlu Konfirmasi,HKM biaya,Belum,Tidak Ada,Kecamatan Mojo,Ngetrep
05/19/2025 11:28:02.348 GMT+07:00,"-7,93646383284","111,90223093300",Masjid,SABILIL MUSTAQIN,SHM,BH NU,Daftar dari C Desa/Petok,HKM biaya,Sudah,BPN,Kecamatan Mojo,Ngetrep
05/19/2025 13:42:52.308 GMT+07:00,"-7,96013400978","111,92640323200",Musholla,MBAH MURDANI,SHM,BH NU,Perlu Konfirmasi,HKM biaya,Sudah,BPN,Kecamatan Mojo,Ngadi
05/19/2025 13:50:01.753 GMT+07:00,"-7,96030600961","111,92731853600",Masjid,baiturrohmat SITI RAHAYU,C Desa/Petok,Perorangan/Desa,Daftar dari C Desa/Petok,HKM biaya,Belum,Tidak Ada,Kecamatan Mojo,Ngadi
05/19/2025 13:58:10.708 GMT+07:00,"-7,96162721712","111,92977778600",Musholla,Mustaham,C Desa/Petok,BH NU,Daftar dari C Desa/Petok,HKM biaya,Belum,PIC Badan Keagamaan,Kecamatan Mojo,Ngadi
05/19/2025 14:03:39.588 GMT+07:00,"-7,95946194911","111,92850776000",Musholla,Al Fattah pak YASIN,C Desa/Petok,BH NU,Daftar dari C Desa/Petok,HKM biaya,Belum,PIC Badan Keagamaan,Kecamatan Mojo,Ngadi
05/19/2025 14:06:32.382 GMT+07:00,"-7,95950611212","111,92957930300",Musholla,An Nawawi MBAH KAMADI,C Desa/Petok,BH NU,Daftar dari C Desa/Petok,HKM biaya,Belum,PIC Badan Keagamaan,Kecamatan Mojo,Ngadi
05/19/2025 14:13:45.100 GMT+07:00,"-7,95691215887","111,93092577200",Masjid,Al Ma'mur pak TASYIM,C Desa/Petok,BH NU,Daftar dari C Desa/Petok,HKM biaya,Belum,PIC Badan Keagamaan,Kecamatan Mojo,Ngadi
05/19/2025 14:29:15.932 GMT+07:00,"-7,95537908907","111,93586539500",Musholla,AL Ali IMAM SUHADI,SHM,BH NU,Perlu Konfirmasi,HKM biaya,Belum,PIC Badan Keagamaan,Kecamatan Mojo,Ngadi
05/19/2025 14:32:39.328 GMT+07:00,"-7,95592564215","111,93355936600",Masjid,AL Iman KH SULAIMAN,SHM,BH NU,Wakaf Seluruhnya,HKM biaya,Belum,PIC Badan Keagamaan,Kecamatan Mojo,Ngadi
05/19/2025 14:37:08.330 GMT+07:00,"-7,95410102924","111,92883934800",Musholla,As Shofa KH BASHORI,C Desa/Petok,BH NU,Daftar dari C Desa/Petok,HKM biaya,Belum,PIC Badan Keagamaan,Kecamatan Mojo,Ngadi
05/19/2025 14:57:57.831 GMT+07:00,"-7,95271371886","111,92757938100",Musholla,AL Mabrur KH KHOIRIMAN,SHM,BH NU,Wakaf Seluruhnya,HKM biaya,Belum,PIC Badan Keagamaan,Kecamatan Mojo,Ngadi
05/19/2025 15:28:21.292 GMT+07:00,"-7,95043052635","111,92636434000",Musholla,Tarbiyatul Hikmah,SHM,BH NU,Wakaf Seluruhnya,HKM biaya,Belum,PIC Badan Keagamaan,Kecamatan Mojo,Ngadi
05/19/2025 15:30:30.483 GMT+07:00,"-7,94885725416","111,92610114800",Masjid,Abdurrahman,SHM,BH NU,Daftar dari C Desa/Petok,HKM biaya,Belum,PIC Badan Keagamaan,Kecamatan Mojo,Ngadi
05/19/2025 15:38:47.556 GMT+07:00,"-7,94272382385","111,92169226700",Musholla,Al Mutaqin,SHM,BH NU,Wakaf Seluruhnya,HKM biaya,Belum,PIC Badan Keagamaan,Kecamatan Mojo,Ngadi
05/19/2025 16:26:34.901 GMT+07:00,"-7,94889743227","111,92387424400",Musholla,Al Marwa,SHM,BH NU,Wakaf Seluruhnya,HKM biaya,Belum,PIC Badan Keagamaan,Kecamatan Mojo,Ngadi
05/19/2025 16:32:45.873 GMT+07:00,"-7,95743851677","111,92769078300",Musholla,Al Banun MBAH BANUN,C Desa/Petok,BH NU,Daftar dari C Desa/Petok,HKM biaya,Belum,PIC Badan Keagamaan,Kecamatan Mojo,Ngadi
05/19/2025 10:44:06.806 GMT+07:00,"-7,91318439065","111,91394001200",Masjid,Masjid Al Mujahidin,SHW,BH NU,"Tidak ada, SHAT sesuai",Tidak ada,Tidak ada,Tidak Ada,Kecamatan Mojo,Kedawung
05/19/2025 10:49:20.292 GMT+07:00,"-7,91048055733","111,90966289500",Musholla,Mushola Al Amiin,C Desa/Petok,BH NU,Daftar dari C Desa/Petok,Tidak ada,Belum,PIC Badan Keagamaan,Kecamatan Mojo,Kedawung
05/19/2025 10:52:19.152 GMT+07:00,"-7,90991800441","111,90889243000",Masjid,Masjid Daarul Falah,C Desa/Petok,BH NU,Daftar dari C Desa/Petok,Tidak ada,Sudah,BPN,Kecamatan Mojo,Kedawung
05/19/2025 11:09:13.383 GMT+07:00,"-7,90881813265","111,90627794700",Musholla,Musholla Al Mubarok,SHW,BH NU,"Tidak ada, SHAT sesuai",Tidak ada,Tidak ada,Tidak Ada,Kecamatan Mojo,Pamongan
05/19/2025 11:13:36.222 GMT+07:00,"-7,90663731086","111,90300498200",Masjid,Masjid Baitunnajah,SHW,BH NU,"Tidak ada, SHAT sesuai",HKM biaya,Belum,Tidak Ada,Kecamatan Mojo,Pamongan
05/19/2025 11:15:29.846 GMT+07:00,"-7,90635764959","111,90302188300",Lainnya,TK Kusuma Mulia,SHW,BH NU,"Tidak ada, SHAT sesuai",Tidak ada,Tidak ada,Tidak Ada,Kecamatan Mojo,Pamongan
05/19/2025 11:18:17.639 GMT+07:00,"-7,90525553312","111,90101056700",Masjid,Masjid Darun Naja,SHW,BH NU,"Tidak ada, SHAT sesuai",Tidak ada,Tidak ada,Tidak Ada,Kecamatan Mojo,Pamongan
05/19/2025 11:22:14.032 GMT+07:00,"-7,90414862956","111,89937997600",Musholla,Musholla Mifatchul Jannah (Berada Diatas Sungai),Perlu Konfirmasi,BH NU,"Tidak ada, tidak bersedia",Tidak ada,Tidak ada,Tidak Ada,Kecamatan Mojo,Pamongan
05/19/2025 11:27:22.503 GMT+07:00,"-7,90200564225","111,89606107800",Masjid,Masjid Baiturrohim,SHW,BH NU,"Tidak ada, SHAT sesuai",Tidak ada,Tidak ada,Tidak Ada,Kecamatan Mojo,Pamongan
05/19/2025 11:27:33.718 GMT+07:00,"-7,90199866800","111,89618110700",Lainnya,TPQ Baiturrohman,SHW,BH NU,"Tidak ada, SHAT sesuai",Tidak ada,Tidak ada,Tidak Ada,Kecamatan Mojo,Pamongan
05/19/2025 11:31:24.928 GMT+07:00,"-7,90108508091","111,89372621500",Masjid,Masjid Jannatun Naim,SHW,BH NU,"Tidak ada, SHAT sesuai",Tidak ada,Tidak ada,Tidak Ada,Kecamatan Mojo,Pamongan
05/19/2025 11:35:30.256 GMT+07:00,"-7,89752070791","111,88817504800",Musholla,Musholla Sunan Kalijaga,SHM,Perorangan/Desa,"Tidak ada, milik pribadi",Tidak ada,Belum,Tidak Ada,Kecamatan Mojo,Pamongan
05/19/2025 11:43:54.547 GMT+07:00,"-7,88752914196","111,86538532400",Musholla,Musholla Al Ikhlas,SHW,BH NU,"Tidak ada, SHAT sesuai",Tidak ada,Tidak ada,Tidak Ada,Kecamatan Mojo,Pamongan
05/19/2025 11:46:41.369 GMT+07:00,"-7,88802430867","111,86602938900",Masjid,Masjid Baiturrohim,SHW,BH NU,"Tidak ada, SHAT sesuai",Tidak ada,Tidak ada,Tidak Ada,Kecamatan Mojo,Pamongan
05/19/2025 11:50:23.861 GMT+07:00,"-7,88808541581","111,86940763100",Masjid,Masjid Janur Mustofa (Diatas Saluran),Perlu Konfirmasi,BH NU,"Tidak ada, tidak bersedia",HKM sengketa batas,Tidak ada,Tidak Ada,Kecamatan Mojo,Pamongan
05/19/2025 11:56:02.866 GMT+07:00,"-7,89143331659","111,87146843300",Masjid,Madjid Dzikrulloh,SHP,BH NU,"Tidak ada, tidak bersedia",HKM keberatan,Tidak ada,Tidak Ada,Kecamatan Mojo,Pamongan
05/19/2025 12:00:33.647 GMT+07:00,"-7,89189828138","111,87252033500",Masjid,Masjid Nurussalam,SHW,BH NU,"Tidak ada, SHAT sesuai",Tidak ada,Tidak ada,Tidak Ada,Kecamatan Mojo,Pamongan
05/19/2025 12:01:58.152 GMT+07:00,"-7,89175978309","111,87244776700",Lainnya,TK PKK II Pamongan,SHP,Perorangan/Desa,"Tidak ada, SHAT sesuai",Tidak ada,Tidak ada,Tidak Ada,Kecamatan Mojo,Pamongan
05/19/2025 12:06:38.759 GMT+07:00,"-7,89457035514","111,87266584500",Musholla,Musholla Al Hikmah,SHW,BH NU,"Tidak ada, SHAT sesuai",HKM biaya,Tidak ada,Tidak Ada,Kecamatan Mojo,Pamongan
05/19/2025 12:09:19.481 GMT+07:00,"-7,89366073585","111,87396571000",Gereja Kristen,Gereja Kristen Anugrah,SHM,Diluar Agama Islam,"Tidak ada, SHAT sesuai",Tidak ada,Tidak ada,Tidak Ada,Kecamatan Mojo,Pamongan
05/19/2025 12:13:22.972 GMT+07:00,"-7,89400993271","111,87665373300",Musholla,Musholla Tarbiyatus Sholihin,SHP,BH NU,"Tidak ada, SHAT sesuai",Tidak ada,Tidak ada,Tidak Ada,Kecamatan Mojo,Pamongan
05/19/2025 12:17:02.093 GMT+07:00,"-7,89473573956","111,87880106300",Musholla,Musholla Baitussalam,SHW,BH NU,"Tidak ada, SHAT sesuai",Tidak ada,Tidak ada,Tidak Ada,Kecamatan Mojo,Pamongan
05/19/2025 12:21:10.006 GMT+07:00,"-7,89618733887","111,88334941900",Musholla,Musholla Al Ikhlas,SHW,BH NU,"Tidak ada, SHAT sesuai",Tidak ada,Tidak ada,Tidak Ada,Kecamatan Mojo,Pamongan
05/19/2025 12:21:16.280 GMT+07:00,"-7,89623914702","111,88341178000",Lainnya,TK PKK Pamongan,SHW,BH NU,"Tidak ada, SHAT sesuai",Tidak ada,Tidak ada,Tidak Ada,Kecamatan Mojo,Pamongan
05/19/2025 12:24:48.564 GMT+07:00,"-7,89673563214","111,88480049400",Masjid,Masjid Darussalam,SHW,BH NU,"Tidak ada, SHAT sesuai",Tidak ada,Tidak ada,Tidak Ada,Kecamatan Mojo,Pamongan
05/19/2025 12:28:31.336 GMT+07:00,"-7,89524982802","111,88623078200",Masjid,Rencana Masjid,C Desa/Petok,BH NU,Daftar dari C Desa/Petok,Tidak ada,Belum,PIC Badan Keagamaan,Kecamatan Mojo,Pamongan
05/19/2025 12:32:15.256 GMT+07:00,"-7,89782391074","111,88974011700",Musholla,Musholla Darun Najah,SHP,BH NU,"Tidak ada, SHAT sesuai",Tidak ada,Tidak ada,Tidak Ada,Kecamatan Mojo,Pamongan
05/19/2025 12:37:38.192 GMT+07:00,"-7,90075032986","111,88830077600",Masjid,Masjid Al Istiqomah,SHW,BH NU,"Tidak ada, SHAT sesuai",Tidak ada,Tidak ada,Tidak Ada,Kecamatan Mojo,Pamongan
05/19/2025 13:45:25.774 GMT+07:00,"-7,92641073527","111,95391330900",Musholla,Musholla Darul Jalal,SHW,BH NU,"Tidak ada, SHAT sesuai",Tidak ada,Tidak ada,Tidak Ada,Kecamatan Mojo,Ploso
05/19/2025 13:49:05.181 GMT+07:00,"-7,92781891711","111,95379538300",Musholla,Musholla Rodliyatul Qobul,SHM,BH NU,Wakaf Sebagian,Tidak ada,Belum,PIC Badan Keagamaan,Kecamatan Mojo,Ploso
05/19/2025 13:53:04.959 GMT+07:00,"-7,92927008295","111,95339023300",Musholla,Musholla Umar Sahid,SHW,BH NU,"Tidak ada, SHAT sesuai",Tidak ada,Tidak ada,Tidak Ada,Kecamatan Mojo,Ploso
05/19/2025 15:14:51.016 GMT+07:00,"-7,92752948740","111,94984171500",Lainnya,Tanah Wakaf,SHM,BH NU,"Tidak ada, milik pribadi",HKM waris,Tidak ada,Tidak Ada,Kecamatan Mojo,Ploso
05/19/2025 15:21:16.074 GMT+07:00,"-7,92099359428","111,95185538400",Musholla,Musholla Aw Wabin,SHW,Perorangan/Desa,"Tidak ada, SHAT sesuai",Tidak ada,Tidak ada,Tidak Ada,Kecamatan Mojo,Ploso
05/19/2025 15:30:49.625 GMT+07:00,"-7,92131172406","111,95297453600",Musholla,Musholla Baitur Rohman,SHM,BH NU,"Tidak ada, milik pribadi",HKM SHAT hilang,Tidak ada,Tidak Ada,Kecamatan Mojo,Ploso
05/19/2025 15:35:29.157 GMT+07:00,"-7,92246967494","111,95486348100",Musholla,Mushola Baitus Salam,SHW,BH NU,"Tidak ada, SHAT sesuai",Tidak ada,Tidak ada,Tidak Ada,Kecamatan Mojo,Ploso
05/19/2025 15:37:30.742 GMT+07:00,"-7,92254605166","111,95582069500",Musholla,Musholla Al Jaiz,SHW,BH NU,"Tidak ada, SHAT sesuai",Tidak ada,Tidak ada,Tidak Ada,Kecamatan Mojo,Ploso
05/19/2025 15:44:40.300 GMT+07:00,"-7,91584271107","111,94758027800",Masjid,Masjid Az Zaitun,SHW,BH NU,"Tidak ada, SHAT sesuai",Tidak ada,Tidak ada,Tidak Ada,Kecamatan Mojo,Ploso
05/19/2025 15:45:54.256 GMT+07:00,"-7,91532831685","111,94664653400",Musholla,Musholla Abd. Syukur,SHW,BH NU,"Tidak ada, SHAT sesuai",Tidak ada,Tidak ada,Tidak Ada,Kecamatan Mojo,Ploso
05/19/2025 15:54:13.033 GMT+07:00,"-7,92307571277","111,95022527100",Musholla,Musholla Al Farj,SHM,BH NU,Wakaf Sebagian,HKM dokumen,Belum,PIC Badan Keagamaan,Kecamatan Mojo,Ploso
05/19/2025 16:03:23.352 GMT+07:00,"-7,92419838325","111,95138188300",Musholla,Musholla Baitul Mukmin,SHW,BH NU,"Tidak ada, SHAT sesuai",Tidak ada,Tidak ada,Tidak Ada,Kecamatan Mojo,Ploso
05/19/2025 16:07:34.731 GMT+07:00,"-7,92473974005","111,95483498300",Musholla,Musholla Ar-Rohman,SHW,BH NU,"Tidak ada, SHAT sesuai",Tidak ada,Tidak ada,Tidak Ada,Kecamatan Mojo,Ploso
05/19/2025 16:11:48.190 GMT+07:00,"-7,93199146743","111,95468351700",Musholla,Musholla Al Faedah,SHW,BH NU,"Tidak ada, SHAT sesuai",Tidak ada,Tidak ada,Tidak Ada,Kecamatan Mojo,Ploso
05/19/2025 16:11:49.840 GMT+07:00,"-7,93200745288","111,95447389000",Lainnya,Akses Jalan Musholla Al Faedah,SHW,BH NU,"Tidak ada, SHAT sesuai",Tidak ada,Tidak ada,Tidak Ada,Kecamatan Mojo,Ploso
05/19/2025 16:14:49.958 GMT+07:00,"-7,93164184609","111,95345398000",Musholla,Musholla Mukawam,SHW,BH NU,"Tidak ada, SHAT sesuai",Tidak ada,Tidak ada,Tidak Ada,Kecamatan Mojo,Ploso
05/19/2025 16:19:38.943 GMT+07:00,"-7,93262908496","111,95318508900",Lainnya,TK Al Badr,SHW,BH NU,"Tidak ada, SHAT sesuai",Tidak ada,Tidak ada,Tidak Ada,Kecamatan Mojo,Ploso
05/19/2025 16:22:46.215 GMT+07:00,"-7,92973621685","111,95515291700",Lainnya,Pondok Pesantren Al Falah,SHM,BH NU,"Tidak ada, milik pribadi",Tidak ada,Tidak ada,Tidak Ada,Kecamatan Mojo,Ploso
05/19/2025 16:24:36.156 GMT+07:00,"-7,92837361265","111,95562019900",Masjid,Masjid Al Falah,SHW,BH NU,"Tidak ada, SHAT sesuai",Tidak ada,Tidak ada,Tidak Ada,Kecamatan Mojo,Ploso
05/19/2025 10:33:16.295 GMT+07:00,"-7,85754336443","112,29580041000",Masjid,masjid baitus sholiqin,SHW,BH NU,Wakaf Seluruhnya,HKM biaya,Tidak ada,Tidak Ada,Kecamatan Kepung,Besowo
05/19/2025 10:37:01.031 GMT+07:00,"-7,85788047440","112,29723371600",Musholla,musholla Darus Salam,SHM,BH NU,Wakaf Seluruhnya,HKM biaya,Belum,PIC Badan Keagamaan,Kecamatan Kepung,Besowo
05/19/2025 10:40:13.953 GMT+07:00,"-7,85787549216","112,29772925400",Pendidikan,TPQ ALQURAN DARURROSYAD,C Desa/Petok,BH NU,Daftar dari C Desa/Petok,HKM waris,Belum,PIC Badan Keagamaan,Kecamatan Kepung,Besowo
05/19/2025 10:45:59.636 GMT+07:00,"-7,85884497302","112,30313021700",Masjid,masjid baitur rahim,SHW,BH NU,Wakaf Seluruhnya,Tidak ada,Tidak ada,Tidak Ada,Kecamatan Kepung,Besowo
05/19/2025 10:48:46.778 GMT+07:00,"-7,85799638712","112,30115208800",Masjid,masjid al manar,SHW,BH NU,Daftar dari C Desa/Petok,Tidak ada,Tidak ada,Tidak Ada,Kecamatan Kepung,Besowo
05/19/2025 10:56:23.187 GMT+07:00,"-7,85609993187","112,30070516500",Musholla,musholla al aman,Perlu Konfirmasi,BH NU,Wakaf Seluruhnya,HKM waris,Belum,PIC Badan Keagamaan,Kecamatan Kepung,Besowo
05/19/2025 11:05:18.559 GMT+07:00,"-7,85494777442","112,30119902600",Musholla,mushola min indinah,C Desa/Petok,BH NU,Daftar dari C Desa/Petok,Tidak ada,Sudah,PIC Badan Keagamaan,Kecamatan Kepung,Besowo
05/19/2025 11:10:51.823 GMT+07:00,"-7,85454822092","112,29834750300",Musholla,imam syafi'i,C Desa/Petok,BH NU,Daftar dari C Desa/Petok,Tidak ada,Belum,PIC Badan Keagamaan,Kecamatan Kepung,Besowo
05/19/2025 11:17:01.412 GMT+07:00,"-7,85322368233","112,30037391200",Masjid,masjid jami baytul munir,Perlu Konfirmasi,BH NU,Daftar dari C Desa/Petok,HKM dokumen,Belum,Tidak Ada,Kecamatan Kepung,Besowo
05/19/2025 11:18:59.113 GMT+07:00,"-7,85295166619","112,30066157900",Gereja Kristen,Gereja Kristen jawi wetan,Perlu Konfirmasi,Diluar Agama Islam,Daftar dari C Desa/Petok,Tidak ada,Sudah,Tidak Ada,Kecamatan Kepung,Besowo
05/19/2025 11:22:44.147 GMT+07:00,"-7,85089941777","112,29772858300",Musholla,musholla Darusaallam,SHM,Yayasan,Daftar dari C Desa/Petok,Tidak ada,Sudah,Tidak Ada,Kecamatan Kepung,Besowo
05/19/2025 11:31:36.481 GMT+07:00,"-7,84706657916","112,29888897400",Musholla,mushollla Al Huda,Perlu Konfirmasi,BH NU,Daftar dari C Desa/Petok,HKM dokumen,Belum,Tidak Ada,Kecamatan Kepung,Besowo
05/19/2025 11:35:14.974 GMT+07:00,"-7,84477383405","112,29820970400",Masjid,Masjid Miftahul Jannah (LDII),SHM,BH LDII,Wakaf Sebagian,Tidak ada,Sudah,BPN,Kecamatan Kepung,Besowo
05/19/2025 11:39:11.145 GMT+07:00,"-7,84451410085","112,29713548000",Musholla,miftahul huda,SHW,BH NU,Wakaf Sebagian,HKM biaya,Belum,Tidak Ada,Kecamatan Kepung,Besowo
05/19/2025 11:45:12.502 GMT+07:00,"-7,84230869519","112,29710429900",Musholla,Khoirul iman,C Desa/Petok,Yayasan,Daftar dari C Desa/Petok,Tidak ada,Tidak ada,Tidak Ada,Kecamatan Kepung,Besowo
05/19/2025 12:00:39.248 GMT+07:00,"-7,84004415461","112,29741442900",Musholla,Musholla Baitul Muhtadi,C Desa/Petok,BH NU,Daftar dari C Desa/Petok,HKM waris,Belum,Tidak Ada,Kecamatan Kepung,Besowo
05/19/2025 12:21:25.958 GMT+07:00,"-7,84209213934","112,29822780900",Masjid,at taufiq,C Desa/Petok,Perorangan/Desa,Perlu Konfirmasi,HKM waris,Tidak ada,Tidak Ada,Kecamatan Kepung,Besowo
05/19/2025 12:24:55.496 GMT+07:00,"-7,85117542061","112,29978349100",Pura,adhya jagad karana,Perlu Konfirmasi,Diluar Agama Islam,Daftar dari C Desa/Petok,Tidak ada,Tidak ada,Tidak Ada,Kecamatan Kepung,Besowo
05/19/2025 09:19:33.170 GMT+07:00,"-7,77600820082","112,08989393000",Musholla,Musholla Wonorejo,SHW,BH NU,"Tidak ada, SHAT sesuai",Tidak ada,Tidak ada,Tidak Ada,Kecamatan Pagu,Semanding
05/19/2025 09:37:32.641 GMT+07:00,"-7,77591950608","112,09309279900",Musholla,NURUL MUKAROMAH,C Desa/Petok,BH NU,Daftar dari C Desa/Petok,Tidak ada,Sudah,Desa,Kecamatan Pagu,Semanding
05/19/2025 09:40:46.074 GMT+07:00,"-7,77539397555","112,09163870700",Musholla,Ar Ridwan,C Desa/Petok,BH NU,Daftar dari C Desa/Petok,Tidak ada,Sudah,Desa,Kecamatan Pagu,Semanding
05/19/2025 09:47:47.861 GMT+07:00,"-7,77550625681","112,09084209100",Masjid,Al Fattah,SHW,BH NU,Ganti Nadzir,Tidak ada,Sudah,Desa,Kecamatan Pagu,Semanding
05/19/2025 09:49:40.501 GMT+07:00,"-7,77534879721","112,09095709000",Pendidikan,Masjid Al Fattah,SHW,BH NU,Ganti Nadzir,HKM dokumen,Belum,Desa,Kecamatan Pagu,Semanding
05/19/2025 10:00:06.750 GMT+07:00,"-7,77718482792","112,08940744400",Musholla,Al Huda,SHW,BH NU,"Tidak ada, SHAT sesuai",Tidak ada,Tidak ada,Tidak Ada,Kecamatan Pagu,Semanding
05/19/2025 10:04:20.392 GMT+07:00,"-7,77778310461","112,09081124500",Musholla,Ar Rohmah,SHW,BH NU,Ganti Nadzir,Tidak ada,Sudah,Desa,Kecamatan Pagu,Semanding
05/19/2025 10:08:16.367 GMT+07:00,"-7,77676360795","112,09219493000",Musholla,nurul 'ula,SHW,BH NU,Wakaf Sebagian,Tidak ada,Sudah,Desa,Kecamatan Pagu,Semanding
05/19/2025 10:12:25.165 GMT+07:00,"-7,77538500032","112,09463500000",Musholla,as syaidi,SHW,BH NU,Wakaf Seluruhnya,Tidak ada,Tidak ada,Tidak Ada,Kecamatan Pagu,Semanding
05/19/2025 10:15:18.908 GMT+07:00,"-7,77453326140","112,09321986900",Musholla,Al Mustaqim,C Desa/Petok,BH NU,Daftar dari C Desa/Petok,Tidak ada,Sudah,Desa,Kecamatan Pagu,Semanding
05/19/2025 10:17:45.364 GMT+07:00,"-7,77388049929","112,09213994400",Musholla,As Syafi'i,SHM,BH NU,Wakaf Seluruhnya,Tidak ada,Sudah,PIC Badan Keagamaan,Kecamatan Pagu,Semanding
05/19/2025 10:21:00.217 GMT+07:00,"-7,77328587025","112,09076531200",Musholla,arrohman,SHW,BH NU,Ganti Nadzir,Tidak ada,Tidak ada,Desa,Kecamatan Pagu,Semanding
05/19/2025 10:23:12.792 GMT+07:00,"-7,77429574235","112,09093093900",Musholla,nur azhari,SHW,BH NU,"Tidak ada, SHAT sesuai",Tidak ada,Tidak ada,Tidak Ada,Kecamatan Pagu,Semanding
05/19/2025 10:25:33.989 GMT+07:00,"-7,77435287988","112,08956334700",Musholla,Nur Kholik,SHW,Perorangan/Desa,"Tidak ada, tidak bersedia",HKM dokumen,Tidak ada,Tidak Ada,Kecamatan Pagu,Semanding
05/19/2025 10:31:11.490 GMT+07:00,"-7,77308289776","112,09247656200",Musholla,Al Maghfiroh,C Desa/Petok,BH NU,"Tidak ada, tidak bersedia",HKM waris,Tidak ada,Tidak Ada,Kecamatan Pagu,Semanding
05/19/2025 10:34:48.705 GMT+07:00,"-7,77424657732","112,09408421100",Musholla,al miftaah,SHW,BH NU,Ganti Nadzir,Tidak ada,Sudah,Desa,Kecamatan Pagu,Semanding
05/19/2025 10:38:15.441 GMT+07:00,"-7,77181822883","112,09391892000",Musholla,ar rohmah,SHM,BH NU,Wakaf Seluruhnya,Tidak ada,Sudah,Desa,Kecamatan Pagu,Semanding
05/19/2025 10:41:37.032 GMT+07:00,"-7,76936833258","112,09544500000",Pertanian,Kemakmuran,SHW,BH NU,"Tidak ada, SHAT sesuai",Tidak ada,Tidak ada,Tidak Ada,Kecamatan Pagu,Semanding
05/19/2025 10:48:45.393 GMT+07:00,"-7,77211388275","112,09993545000",Pertanian,kemakmuran islam semanding,SHW,BH NU,Wakaf Seluruhnya,Tidak ada,Tidak ada,Tidak Ada,Kecamatan Pagu,Semanding
05/19/2025 10:55:50.885 GMT+07:00,"-7,77104886062","112,09866944700",Pertanian,kemakmuran,SHW,BH NU,Wakaf Seluruhnya,Tidak ada,Tidak ada,Tidak Ada,Kecamatan Pagu,Semanding
